C:\Users\KIIT\Desktop\IMG\center_2020_01_03_15_07_21_073.jpg,C:\Users\KIIT\Desktop\IMG\left_2020_01_03_15_07_21_073.jpg,C:\Users\KIIT\Desktop\IMG\right_2020_01_03_15_07_21_073.jpg,0,0,0,1.410794E-05
C:\Users\KIIT\Desktop\IMG\center_2020_01_03_15_07_21_156.jpg,C:\Users\KIIT\Desktop\IMG\left_2020_01_03_15_07_21_156.jpg,C:\Users\KIIT\Desktop\IMG\right_2020_01_03_15_07_21_156.jpg,0,0,0,6.790089E-06
C:\Users\KIIT\Desktop\IMG\center_2020_01_03_15_07_21_241.jpg,C:\Users\KIIT\Desktop\IMG\left_2020_01_03_15_07_21_241.jpg,C:\Users\KIIT\Desktop\IMG\right_2020_01_03_15_07_21_241.jpg,0,0,0,1.89237E-05
C:\Users\KIIT\Desktop\IMG\center_2020_01_03_15_07_21_334.jpg,C:\Users\KIIT\Desktop\IMG\left_2020_01_03_15_07_21_334.jpg,C:\Users\KIIT\Desktop\IMG\right_2020_01_03_15_07_21_334.jpg,0,0,0,8.827158E-06
C:\Users\KIIT\Desktop\IMG\center_2020_01_03_15_07_21_410.jpg,C:\Users\KIIT\Desktop\IMG\left_2020_01_03_15_07_21_410.jpg,C:\Users\KIIT\Desktop\IMG\right_2020_01_03_15_07_21_410.jpg,0,0,0,1.861219E-06
C:\Users\KIIT\Desktop\IMG\center_2020_01_03_15_07_21_492.jpg,C:\Users\KIIT\Desktop\IMG\left_2020_01_03_15_07_21_492.jpg,C:\Users\KIIT\Desktop\IMG\right_2020_01_03_15_07_21_492.jpg,0,0,0,6.989418E-06
C:\Users\KIIT\Desktop\IMG\center_2020_01_03_15_07_21_580.jpg,C:\Users\KIIT\Desktop\IMG\left_2020_01_03_15_07_21_580.jpg,C:\Users\KIIT\Desktop\IMG\right_2020_01_03_15_07_21_580.jpg,0,0,0,1.237506E-05
C:\Users\KIIT\Desktop\IMG\center_2020_01_03_15_07_21_666.jpg,C:\Users\KIIT\Desktop\IMG\left_2020_01_03_15_07_21_666.jpg,C:\Users\KIIT\Desktop\IMG\right_2020_01_03_15_07_21_666.jpg,0,0,0,1.159182E-06
C:\Users\KIIT\Desktop\IMG\center_2020_01_03_15_07_21_753.jpg,C:\Users\KIIT\Desktop\IMG\left_2020_01_03_15_07_21_753.jpg,C:\Users\KIIT\Desktop\IMG\right_2020_01_03_15_07_21_753.jpg,0,0,0,7.499986E-07
C:\Users\KIIT\Desktop\IMG\center_2020_01_03_15_07_21_836.jpg,C:\Users\KIIT\Desktop\IMG\left_2020_01_03_15_07_21_836.jpg,C:\Users\KIIT\Desktop\IMG\right_2020_01_03_15_07_21_836.jpg,0,0,0,1.012455E-05
